word,ipa
bezel,[ˈbe.zəl]
bezit,[bəˈzɪt̚]
bezit,[bəˈðɪt̚]
bgm,/beˈɡe.ɛm/
bgm,[beˈɡe.ɛm]
bgn,/be.ɡe.ɛn/
bh,/ˈbe.ha/
bhayangkara,/bajaŋˈkara/
bhayangkara,[ba.jaŋˈka.ra]
bi-,[bi]
bia,/ˈbia/
bia,[ˈbi.a]
biadab,/biˈadab/
biadab,[biˈa.dap̚]
bianca,/ˈbi(j)aŋka/
bianca,/ˈbj-/
biang,/ˈbiaŋ/
biang,[ˈbi.aŋ]
bianglala,/biaŋˈlala/
bianglala,[bi.aŋˈla.la]
biar,/ˈbiar/
biar,[ˈbi.ar]
biara,/biˈara/
biara,[biˈa.ra]
biarpun,/biarˈpun/
biarpun,/biˈarpun/
biarpun,[bi.arˈpun]
biarpun,[biˈar.pʊn]
bias,[ˈbi.as]
biasa,/biˈasa/
biasa,[biˈa.sa]
biasa saja,/bi.a.sa ˈsa.d͡ʒa/
biasakan,/bi.aˈsa.kan/
biasakan,[bjaˈsa.kan]
biawak,/biˈawak/
biawak,[biˈa.wak̚]
biaya,/biˈa.ja/
biaya,[biˈa.ja]
biaya hidup,/ˈbia.ja ˈhi.dʊp̚/
biaya ikatan,/biˌa.ja iˈka.tan/
biaya ikatan,[biˌa.ja iˈka.t̪an]
biaya jarak tambahan,/biˌa.ja ˌd͡ʒa.rak tamˈba.han/
biaya jarak tambahan,[biˌa.ja ˌd͡ʒa.rak̚ t̪amˈba.han]
biaya modal,/biˌa.ja ˈmo.dal/
biaya modal,[biˌa.ja ˈmo.dal]
biaya nirtempah,/biˌa.ja ˈnir.təm.pah/
biaya nirtempah,[biˌa.ja ˈnir.t̪əm.pah]
biaya pengembalian uang,/biˌa.ja pə.ŋəm.baˌli.an ˈu.aŋ/
biaya pengembalian uang,[biˌa.ja pə.ŋəm.baˌli.an ˈu.aŋ]
bibel,/ˈbi.bəl/
bibi,/ˈbi.bi/
bibi,[ˈbi.bi]
bibimbap,[biˈbɪmbap̚]
bibir,/ˈbibir/
bibir,[ˈbi.bɪr]
bibit,/ˈbibɪt̚/
biblio,/bibˈlio/
biblio,[bip̚ˈli.o]
bibliografi,/biblioˈɡrafi/
bibliografi,[bip̚.li.oˈɡra.fi]
bibliografis,/biblioˈɡrafis/
bibliografis,[bip̚.li.oˈɡra.fɪs]
bibliotek,/bi.bliˈo.tɛk/
biblis,/ˈbiblis/
biblis,[ˈbip̚.lɪs]
bicara,/biˈt͡ʃara/
bicara,[biˈt͡ʃa.ra]
bidadari,/bidaˈdari/
bidadari,[bi.daˈda.ri]
bidah,/ˈbidah/
bidah,[ˈbit̪̚.ah]
bidai,/ˈbidai̯/
bidai,[ˈbi.dai̯]
bidak,/bidak/
bidan,/bi.dan/
bidang,/ˈbidaŋ/
bidang,[ˈbi.daŋ]
bidara,/biˈdara/
bidara,[biˈda.ra]
bidat,/ˈbidat/
bidat,[ˈbi.dat̪̚]
biduan,[biˈduan]
biduanda,/biduˈanda/
biduanda,[bi.duˈan.da]
biduk,[ˈbidʊk̚]
bienial,[bieˈnial]
bifidin,/biˈfidin/
bifidin,[biˈfi.dɪn]
bifidobakteri,/bifidoˈbaktəri/
bifidobakteri,[bi.fi.doˈbak̚.t̪ə.ri]
bigami,[biˈɡami]
bihun,/ˈbihun/
bihun,[ˈbi.hʊn]
bija,[ˈbi.d͡ʒa]
bijak,/ˈbi.d͡ʒak/
bijaksana,/bi.d͡ʒakˈsa.na/
bijan,[ˈbid͡ʒan]
biji,/ˈbid͡ʒi/
bijih,/ˈbid͡ʒih/
bijih,[ˈbi.d͡ʒɪh]
bikameralisme,/bikaməraˈlismə/
bikameralisme,[bi.ka.mə.raˈlis.mə]
bikarbonat,/bikarˈbonat/
bikarbonat,[bi.karˈbo.nat̪̚]
bikin,/ˈbikin/
bikin,[ˈbi.kɪn]
bikini,/biˈkini/
biksu,/bik.su/
biku,/bi.ku/
bila,/bi.la/
bilah,/ˈbilah/
bilah,[ˈbi.lah]
bilal,/ˈbilal/
bilal,[ˈbi.lal]
bilang,/ˈbilaŋ/
bilang,[ˈbi.laŋ]
bilangan,/biˈla.ŋan/
bilangan,/biˈlaŋan/
bilangan,[biˈla.ŋan]
bilangan pokok,/biˈlaŋan ˈpokɔk̚/
bilateral,/bilatəˈral/
bilateral,[bi.la.t̪əˈral]
biliar,[biˈliar]
bilier,/biˈliɛr/
bilier,[biˈli.ɛr]
bilik,[ˈbilɪk̚]
bilik suara,/ˈbi.lɪʔ ˈsua̯.ra/
biliun,/biˈliʊn/
bima,/ˈbima/
bimbel,/ˈbimbəl/
bimbel,[ˈbim.bəl]
bimbin,/bim.bin/
bimbing,/ˈbim.biŋ/
bimbing,[ˈbim.bɪŋ]
bimbingan,/bimˈbiŋan/
bimbingan,[bimˈbi.ŋan]
bimodal,/biˈmodal/
bimodal,[biˈmo.dal]
bina,/ˈbina/
bina diri,/bi.na ˈdi.ri/
bina marga,/ˌbi.na ˈmar.ɡa/
bina marga,[ˌbi.na ˈmar.ɡa]
binahong,/biˈnahoŋ/
binahong,[biˈna.hɔŋ]
binan,/ˈbi.nan/
binan,[ˈbi.nan]
binaraga,/binaˈraɡa/
binaraga,[bi.naˈra.ɡa]
binaragawan,/binaraˈɡawan/
binaragawan,[bi.na.raˈɡa.wan]
binaragawati,/binaraɡaˈwati/
binaragawati,[bi.na.ra.ɡaˈwa.t̪i]
binasa,/bi.na.sa/
binatang,/biˈnataŋ/
binatang,[biˈna.t̪aŋ]
binawah,/biˈnawah/
binawah,[biˈna.wah]
bincang,/ˈbint͡ʃaŋ/
bincang,[ˈbiɲ.t͡ʃaŋ]
bineka,/bi.ˈne.ka/
binen,/ˈbinən/
binen,[ˈbi.nən]
biner,/ˈbinɛr/
biner,[ˈbi.nɛr]
bingar,/ˈbiŋar/
bingkai,/ˈbiŋkai̯/
bingkai,[ˈbiŋ.kai̯]
bingsu,[ˈbɪŋsu]
bini,/ˈbini/
bini,[ˈbi.ni]
bini gelap,/ˌbini ɡəˈlap/
bini gelap,[ˌbi.ni ɡəˈlap̚]
binomial,/binoˈmial/
binomial,[bi.noˈmi.al]
bintang,/ˈbintaŋ/
bintang,[ˈbin̪.t̪aŋ]
bintang jatuh,/ˌbintaŋ ˈd͡ʒatuh/
bintang jatuh,[ˌbin̪.t̪aŋ ˈd͡ʒa.t̪ʊh]
bintang kartika,/ˌbintaŋ karˈtika/
bintang kartika,[ˌbin̪.t̪aŋ karˈt̪i.ka]
bintang tujuh,/ˌbintaŋ ˈtud͡ʒuh/
bintang tujuh,[ˌbin̪.t̪aŋ ˈt̪u.d͡ʒʊh]
bintara,/bin.ta.ra/
bintik,/ˈbintik/
bintik,[ˈbin̪.t̪ɪk̚]
bintik buta,/ˌbin.tik ˈbu.ta/
bintik buta,[ˌbin̪.t̪ɪk̚ ˈbu.t̪a]
binturung,/bɪnˈturʊŋ/
binungku,/biˈnuŋku/
binungku,[biˈnuŋ.ku]
bio,/ˈbio/
bio,[ˈbi.o]
bioaktif,[bioˈaktɪf]
bioakumulasi,/biwakumuˈlasi/
bioakumulasi,[bi.wa.ku.muˈla.si]
biobibliografi,/bi.o.bib.li.oɡˈra.fi/
biobibliografi,[bi.o.bip̚.li.ok̚ˈra.fi]
biodegradasi,[biodeɡraˈdasi]
bioetik,/bioˈetik/
bioetik,[bi.oˈe.t̪ɪk̚]
bioetika,/bioeˈtika/
bioetika,[bi.o.eˈt̪i.ka]
biofisika,[biofiˈsika]
biogenesis,/bioɡeˈnesis/
biogenesis,[bi.o.ɡeˈne.sɪs]
biografi,/bioˈɡrafi/
biografi,[bi.oˈɡra.fi]
biografis,/bioˈɡrafis/
biografis,[bi.oˈɡra.fɪs]
bioindikator,/bioɪndiˈkatɔr/
bioinformatika,/bio.ɪn.fɔr.ma.ˈti.ka/
biola,[biˈola]
biologi,/bioˈloɡi/
biologi,[bi.oˈlo.ɡi]
biologi molekuler,/bio.lo.ɡi mo.lə.ˈku.lɛr/
biologis,/bioˈloɡɪs/
bioma,[ˈbio̯ma]
biomagnifikasi,/biomaɡnifiˈkasi/
biomagnifikasi,[bi.o.mak̚.ni.fiˈka.si]
biomassa,[bioˈmassa]
biomedis,[bioˈmɛdɪs]
biopsi,[biˈɔpsi]
bioritme,[bioˈrɪtmə]
biosfer,/biˈɔsfɛr/
biosfer,[biˈɔs.fɛr]
bioskop,/biˈoskop/
bioskop,[biˈo.skɔp̚]
biostatika,/bi.o.sta.ˈti.ka/
bipa,/ˈbipa/
biparietal,/bipariˈetal/
biparietal,[bi.pa.riˈe.t̪al]
biped,/ˈbipɛd/
biped,[ˈbi.pɛt̪̚]
bipedal,/biˈpedal/
bipedal,[biˈpe.dal]
bipolaritas,/bipolaˈritas/
bipolaritas,[bi.po.laˈri.t̪as]
bipolisentrisme,/bipolisənˈtrismə/
bipolisentrisme,[bi.po.li.sən̪ˈt̪ris.mə]
bir,[ˈbɪr]
birama,[biˈra.ma]
biri,/ˈbiri/
biri,[ˈbi.ri]
biri-biri,/ˌbiri ˈbiri/
biri-biri,[ˌbi.ri ˈbi.ri]
biring,/ˈbi.rɪŋ/
biro,/bi.ro/
biro perjalanan,/ˈbi.ro pər.d͡ʒa.ˈlan.an/
birokrasi,/biroˈkrasi/
birokrasi,[bi.roˈkra.si]
birokrat,[biˈrokrat]
birokratis,[biroˈkratɪs]
birsam,/ˈbirsam/
birsam,[ˈbir.sam]
biru,/ˈbi.ru/
biru ceraka,/ˈbi.ru t͡ʃə.ˈra.ka/
biru empedu,/ˈbi.ru əm.pə.ˈdu/
biru giok,/ˈbi.ru ˈɡi.ɔk/
biru jelak,/ˈbi.ru d͡ʒə.ˈlak/
biru kelasi,/ˈbi.ru kə.ˈla.si/
biru langit,/ˌbiru ˈlaŋit/
biru langit,[ˌbi.ru ˈla.ŋɪt̪̚]
biru laut,/ˈbi.ru ˈla.ʊt/
biru lebam,/ˈbi.ru lə.ˈbam/
biru panci,/ˈbi.ru ˈpan.t͡ʃi/
biru pelangi,/ˈbi.ru pə.ˈla.ŋi/
biru pirus,/ˈbi.ru ˈpi.rʊs/
biru porselen,/ˈbi.ru pɔr.sə.ˈlɛn/
biru telang,/ˈbi.ru tə.ˈlaŋ/
biru telur itik,/ˈbi.ru tə.ˈlʊr ˈi.tɪk/
bis,/ˈbɪs/
bisa,/ˈbisa/
bisa,[ˈbi.sa]
bisai,[ˈbisai̯]
bisak,/bi.saʔ/
bisban,/ˈbɪsban/
biseps,[ˈbisɛp(s)]
bisi,/ˈbisi/
bisi,[ˈbi.si]
bisik,/ˈbisik/
bisik,[ˈbi.sɪk̚]
bising,/ˈbisiŋ/
bising,[ˈbi.sɪŋ]
bisitopenia,/bisitopeˈnia/
bisitopenia,[bi.si.t̪o.peˈni.a]
biskuit,/bisˈkuit/
biskuit,[bisˈku.ɪt̪̚]
bisnis,[ˈbɪsnɪs]
bison,[ˈbisɔn]
bispak,/ˈbispak/
bispak,[ˈbis.pak̚]
bistik,[ˈbɪstɪk̚]
bisturi,/bisˈturi/
bisturi,[bisˈt̪u.ri]
bisyar,/ˈbiʃar/
bisyar,[ˈbi.ʃar]
bit,/ˈbit/
bit,[ˈbɪt̪̚]
bita,/ˈbi.ta/
bitemporal,/bitɛmˈporal/
bitemporal,[bi.t̪ɛmˈpo.ral]
biterbalen,/bitərˈbalən/
biterbalen,[bi.t̪ərˈba.lən]
bitumen,[biˈtumɛn]
bius,[ˈbiʊs]
bivariat,/bivaˈriat/
bivariat,[bi.faˈri.at̪̚]
biwara,/bi.ˈwa.ra/
biyodu,/biˈjodu/
biyodu,[biˈjo.du]
bjir,/bed͡ʒeˈier/
bjir,/bid͡ʒei̯ˈai̯ar/
bjir,/bəˈd͡ʒir/
bjir,[be.d͡ʒeˈi.ɛr]
bjir,[bi.d͡ʒei̯ˈai̯.ar]
bjir,[bəˈd͡ʒɪr]
blak-blakan,/ˌblak ˈblakan/
blak-blakan,[ˌblak̚ ˈbla.kan]
blangko,/ˈblaŋko/
blangko,[ˈblaŋ.ko]
blangwir,[ˈblaŋwɪr]
blas on,/ˌblas ˈon/
blas on,[ˌblas ˈɔn]
blaster,/ˈblastər/
blaster,[ˈblas.t̪ər]
blastomikosis,/blastomiˈkosis/
blastomikosis,[blas.t̪o.miˈko.sɪs]
blb,/be.ɛl.be/
blefarospasme,/blefaroˈspasmə/
blefarospasme,[ble.fa.roˈspas.mə]
blek,/blɛk/
blewah,/ˈblewah/
blewah,[ˈble.wah]
bliding,/ˈblidiŋ/
bliding,[ˈbli.dɪŋ]
blk,/be.ɛl.ka/
blok,[ˈblɔk̚]
blokade,/bloˈkadə/
blokade,[bloˈka.də]
blokir,/ˈblokir/
blokir,[ˈblo.kɪr]
bloknot,[ˈblɔk̚nɔt̚]
blower,/ˈblowər/
blower,[ˈblo.wər]
bluderu,/ˈbludəru/
bluderu,[ˈblu.də.ru]
bludrek,[ˈblʊdrək]
blumbak,/ˈblʊmbak̚/
blumkol,[ˈblʊmkɔl]
blus,[ˈblʊs]
blush on,/bəˌlas ˈon/
blush on,[bəˌlas ˈɔn]
blusuk,[ˈblusʊk̚]
bmn,/beˈɛm.ɛn/
bmn,[beˈɛm.ɛn]
bnkp,/be.ɛnˈka.pe/
bnkp,[be.ɛnˈka.pe]
bnn,/beˈɛnɛn/
bno,/be.ɛn.o/
bnpt,/beɛnˈpete/
bnsp,/beɛnˈɛspe/
boa,[ˈboa̯]
boba,/ˈboba/
boba,[ˈbo.ba]
bobo,/ˈbobo/
bobo,[ˈbo.bo]
bobok,/ˈbobok/
bobok,/ˈboboʔ/
bobok,[ˈbo.bɔk̚]
bobok,[ˈbo.bɔʔ]
bobok-bobok siang,/ˌbobok ˌbobok ˈsiaŋ/
bobok-bobok siang,[ˌbo.bɔk̚ ˌbo.bɔk̚ ˈsi.aŋ]
bobokan,/boˈboʔan/
bobokan,[boˈbo.ʔan]
bobot,/ˈbobot/
bobot,[ˈbo.bɔt̪̚]
bobrok,/bo.brɔk/
bocah,[ˈbot͡ʃah]
bocil,[botʃɪl]
bocor,[ˈbo.t͡ʃor]
bocuan,/ˈbo.t͡ʃua̯n/
bodi,[ˈbodi]
bodo,/ˈbo.do/
bodo,/ˈbo.doʔ/
bodoh,/ˈbodoh/
bodoh,[ˈbo.dɔh]
bodok,/ˈbodɔk̚/
boga,[ˈboɡa]
boga bahari,/ˌbo.ɡa baˈha.ri/
boga bahari,[ˌbo.ɡa baˈha.ri]
bogi,/ˈboɡi/
bogi,[ˈbo.ɡi]
bogie,/boˈɡiə/
bogie,[boˈɡi.ə]
bogor,/ˈboɡor/
bogor,[ˈbo.ɡɔr]
bohir,/ˈbohir/
bohir,[ˈbo.hɪr]
bohlam,[ˈbɔhlam]
bohong,/bo.hoŋ/
boi,/ˈboi̯/
boi,[ˈboi̯]
boikot,/ˈboi̯kot/
boikot,[ˈboi̯.kɔt̪̚]
bokap,/ˈbokap/
bokap,/ˈbɔkap/
bokap,[ˈbo.kap̚]
bokap,[ˈbɔ.kap̚]
bokeh,[ˈbokɛh]
bokek,/ˈbokɛʔ/
bokek,[ˈbo.kɛʔ]
bokep,/ˈbokɛp/
bokep,[ˈbo.kɛp̚]
boker,/ˈbɔ.kɛr/
bokin,/ˈbokin/
bokin,[ˈbo.kɪn]
bokis,/ˈbokis/
bokis,[ˈbo.kɪs]
bokong,/ˈbokoŋ/
bokong,[ˈbo.kɔŋ]
boks,[ˈbɔks]
boksen,/ˈboksən/
boksen,[ˈbok̚.sən]
bokser,[ˈbɔksər]
boksu,/ˈbɔk̚.su/
bokugo,[boˈkuɡo]
bokul,/ˈbo.kul/
bokul,[ˈbo.kʊl]
bokurai,/boˈkurai̯/
bokurai,[boˈku.rai̯]
bola,/ˈbola/
bola,[ˈbo.la]
bola basket,/ˌbola ˈbaskət/
bola basket,[ˌbo.la ˈbas.kət̪̚]
bola voli,/ˈbo.la ˈvo.li/
bolak-balik,/ˌbolak ˈbalik/
bolak-balik,/ˌbolaʔ ˈbaliʔ/
bolak-balik,[ˌbo.lak̚ ˈba.lɪk̚]
bolak-balik,[ˌbo.laʔ ˈba.lɪʔ]
bolang-baling,/ˌbolaŋ ˈbaliŋ/
bolang-baling,[ˌbo.laŋ ˈba.lɪŋ]
boleh,/ˈbolɛh/
boleh,[ˈbo.lɛh]
bolehan,/bɔˈlɛ.han/
bolero,[boˈlero]
boling,[ˈbolɪŋ]
bolong,/ˈbolɔŋ/
bolong,[ˈbo.lɔŋ]
bolos,/ˈbɔlɔs/
bolos,[ˈbɔ.lɔs]
bolpen,[ˈbɔlpɛn]
bolpoin,[ˈbolpoin]
bolu,/ˈbolu/
bom,[ˈbɔm]
bom waktu,/ˌbom ˈwaktu/
bom waktu,[ˌbɔm ˈwak̚.t̪u]
bombardemen,[bɔmbardəˈmɛn]
bombardir,/bɔmˈbardir/
bombardir,[bɔmˈbar.dɪr]
bombas,[ˈbɔmbas]
bombastis,[bɔmˈbastɪs]
bon,/ˈbon/
bon,[ˈbon]
bonafide,/bonaˈfide/
bonafide,[bo.naˈfi.de]
bonanza,/boˈnan.za/
bonanza,[boˈnan.za]
bonapartis,/bonaˈpartis/
bonapartis,[bo.naˈpar.t̪ɪs]
bonapartisme,/bonaparˈtismə/
bonapartisme,[bo.na.parˈt̪is.mə]
bonbon,[ˈbɔnbɔn]
bondol,/ˈbondol/
bondol,[ˈbon.dɔl]
boneka,/boˈnɛka/
boneka,[boˈnɛ.ka]
bong,/ˈboŋ/
bong,[ˈboŋ]
bong,[ˈbɔŋ]
bonsai,[ˈbɔnsai̯]
bontang,/ˈbɔntaŋ/
bonus,/ˈbonus/
bonus,[ˈbo.nʊs]
boplang,[bɔpˈlaŋ]
bor,/ˈbɔr/
bor,[ˈbɔr]
boraks,/ˈboraks/
boraks,[ˈbo.raks]
borang,/ˈbɔraŋ/
borat,/ˈborat/
borat,[ˈbo.rat̪̚]
bordes,[ˈbɔrdɛs]
bordil,/bordɪl/
bordir,[ˈbɔrdɪr]
bordu,[borˈdū]
borduria,/borduˈria/
borduria,[bor.duˈri.a]
boreh,[ˈborəh]
boreh,[ˈborɛh]
borgol,/ˈbɔrɡɔl/
borgol,[ˈbɔr.ɡɔl]
borjuasi,[bɔrd͡ʒuˈasi]
borjuis,[bɔrˈd͡ʒu.ɪs]
boro-boro,/ˌboro ˈboro/
boro-boro,[ˌbo.ro ˈbo.ro]
borok,/ˈbɔ.rɔk̚/
boron,/ˈboron/
boron,[ˈbo.rɔn]
borong,/ˈboroŋ/
boros kata,/ˌbɔ.rɔs ˈka.ta/
boros kata,[ˌbɔ.rɔs ˈka.t̪a]
bos,/ˈbos/
bos,[ˈbɔs]
bosisme,/boˈsismə/
bosisme,[boˈsis.mə]
bosman,[ˈbɔsman]
bosnia dan herzegovina,/ˈbɔs.ni.jä ˈdän hɛr.zə.ɡo̞ˈvi.nä/
bot,/ˈbot/
bot,[ˈbɔt̪̚]
bota,/bo.ta/
botak,/ˈbɔtaʔ/
botak,[ˈbɔ.t̪aʔ]
botang,/ˈbotaŋ/
botang,[ˈbo.t̪aŋ]
botani,/boˈtani/
botani,[boˈt̪a.ni]
botel,/ˈbotɛl/
botel,[ˈbo.t̪ɛl]
boti,/ˈboti/
boti,[ˈbo.t̪i]
botoh,/ˈbotoh/
botoh,[ˈbo.t̪ɔh]
botok,/ˈbɔ.tɔʔ/
botok,[ˈbɔ.t̪ɔʔ]
botol,[ˈbo.tɔl]
botulisme,[botuˈlɪsmə]
bowo,/ˈbowo/
bowo,[ˈbo.wo]
bozah,/ˈbozah/
bp,/ˈbe.pe/
bp,[ˈbe.pe]
bp4,/be.pe.əm.ˈpat/
bphtb,/be.pe.haˈte.be/
bphtb,[be.pe.haˈt̪e.be]
bpjs,/bepeˈd͡ʒeɛs/
bpk,/beˈpeka/
bpk,[beˈpe.ka]
bpkb,/be.pe.ˈka.be/
bpm,/beˈpe.ɛm/
bpm,[beˈpe.ɛm]
bpn,/be.pe.ɛn/
bppd,/be.pe.pe.de/
bpr,/be.ˈpe.ɛr/
bps,/be.ˈpe.ɛs/
bradikardi,/bradiˈkardi/
bradikardi,[bra.diˈkar.di]
bradikardia,/bra.di.ˈkar.dia̯/
bradikinesia,/bradikineˈsia/
bradikinesia,[bra.di.ki.neˈsi.a]
bradikusia,/bradikuˈsia/
bradikusia,[bra.di.kuˈsi.a]
brahmana,/brahˈmana/
brak,/ˈbrak/
brak,[ˈbrak̚]
brakhialis,/braxiˈalis/
brakhialis,[bra.xiˈa.lɪs]
brakidaktili,/brakidakˈtili/
brakidaktili,[bra.ki.dak̚ˈt̪i.li]
brakiterapi,/brakiteˈrapi/
brakiterapi,[bra.ki.t̪eˈra.pi]
bramacorah,/bramaˈt͡ʃorah/
branjangan,/branˈd͡ʒaŋan/
branjangan,[braɲˈd͡ʒa.ŋan]
brankar,/brankar/
brankas,/ˈbraŋkas/
brankas,[ˈbraŋ.kas]
branwir,[ˈbranwɪr]
braseri,/bra.sə.ˈri/
braseri,/bra.ˈse.ri/
brata,[ˈbra.ta]
bravo,/ˈbra.vo/
bravo,[ˈbra.fo]
brebes,/ˈbrəbəs/
brebes,[ˈbrə.bəs]
bregada,/brəˈɡa.da/
bregada,[brəˈɡa.da]
breidel,/bəˈrɛ(j)dɛl/
breksia,/brɛkˈsia/
breksia,[brɛk̚ˈsi.a]
brem,/ˈbrəm/
brem,[ˈbrəm]
brevet,/ˈbrɛvɛt/
brevet,[ˈbrɛ.fɛt̪̚]
brewu,/brəˈwu/
brewu,[brəˈwu]
bri,/bɛˈɛri/
bri,[bɛˈɛr.i]
brigade,[briˈɡadə]
brigadir,[briˈɡad̪ɪr]
brigtar,/ˈbriɡtar/
brigtar,[ˈbrik̚.t̪ar]
briket,[ˈbrikɛt̚]
brilian,[briˈlian]
brim,[ˈbrɪm]
brimob,/ˈbri.mob/
brimob,[ˈbri.mɔp̚]
brinji,/ˈbrind͡ʒi/
brinji,[ˈbriɲ.d͡ʒi]
britania raya,[briˈtania̯ ˈraja]
brokap,/ˈbrokap/
brokap,[ˈbro.kap̚]
brokat,[ˈbrokat̚]
brokoli,[broˈkoli]
bromat,/ˈbromat/
bromat,[ˈbro.mat̪̚]
bromhidrosis,/bromhidˈrosis/
bromhidrosis,[brom.hit̪̚ˈro.sɪs]
bromida,/broˈmida/
bromida,[broˈmi.da]
bromidrosis,/bromiˈdrosis/
bromidrosis,[bro.miˈdro.sɪs]
brompit,[ˈbrɔmpɪt]
bronkial,/bronˈkial/
bronkial,[bronˈki.al]
bronkiolektasis,/bronkiolɛkˈtasis/
bronkiolektasis,[bron.ki.o.lɛk̚ˈt̪a.sɪs]
bronkiolitis,/bronkioˈlitis/
bronkiolitis,[bron.ki.oˈli.t̪ɪs]
bronkiolus,/bronkiˈolus/
bronkiolus,[bron.kiˈo.lʊs]
bronkitis,/bronˈkitis/
bronkitis,[bronˈki.t̪ɪs]
bronkitis kronis,/bronˌkitis ˈkronis/
bronkitis kronis,[bronˌki.t̪ɪs ˈkro.nɪs]
bronkodilatasi,/bronkodilaˈtasi/
bronkodilatasi,[bron.ko.di.laˈt̪a.si]
bronkoesofagologi,/bronkoesofaɡoˈloɡi/
bronkoesofagologi,[bron.ko.e.so.fa.ɡoˈlo.ɡi]
bronkokonstriksi,/bronkokonsˈtriksi/
bronkokonstriksi,[bron.ko.konsˈt̪rik̚.si]
bronkopneumonia,/bronkopneumoˈnia/
bronkopneumonia,[bron.ko.pne.u.moˈni.a]
bronkoskop,/bronˈkoskop/
bronkoskop,[bronˈkos.kɔp̚]
bronkoskopi,/bronkosˈkopi/
bronkoskopi,[bron.kosˈko.pi]
bronkospasme,/bronkosˈpasmə/
bronkospasme,[bron.kosˈpas.mə]
bronkotomi,/bronkoˈtomi/
bronkotomi,[bron.koˈt̪o.mi]
bros,/ˈbrɔs/
bros,[ˈbrɔs]
brosur,[ˈbro.sʊr]
brotowali,/brotoˈwali/
brotowali,[bro.t̪oˈwa.li]
brudel,/ˈbrudəl/
brudel,[ˈbru.dəl]
bruder,/ˈbrudər/
bruder,[ˈbru.dər]
bruksisme,/brukˈsismə/
bruksisme,[bruk̚ˈsis.mə]
brunei,/ˈbrunei̯/
brunei,[ˈbru.nei̯]
brunois,[bruˈnoɪs]
brur,/ˈbrur/
brur,[ˈbrʊr]
brutal,[ˈbrutal]
bruto,/ˈbruto/
bruto,[ˈbru.t̪o]
btkv,/be.teˈka.ve/
btkv,[be.t̪eˈka.fe]
bu,/ˈbe.u/
buah,/ˈbuah/
buah,[ˈbu.ah]
buah dada,/ˌbuah ˈdada/
buah dada,[ˌbu.ah ˈda.da]
buah pinggang,[ˈbuah ˈpɪŋɡaŋ]
buai,/ˈbuai̯/
buai,[ˈbu.ai̯]
buaian,/buˈa.jan/
buana,/bua̯.na/
buang,/ˈbuaŋ/
buang,[ˈbu.aŋ]
buang air,/bu.aŋ ˈa.ɪr/
buang air besar,/bu.aŋ a.ɪr bəˈsar/
buang air darah,/bu.aŋ a.ɪr ˈda.rah/
buang air kecil,/bu.aŋ a.ɪr kəˈtʃɪl/
buang angin,/bu.aŋ ˈa.ŋɪn/
buang badan,/bu.aŋ ˈba.dan/
buang gas,/bu.aŋ ˈɡas/
buang sirih,/bu.aŋ ˈsi.rɪh/
buang-buang,/ˌbuaŋ ˈbuaŋ/
buang-buang,[ˌbu.aŋ ˈbu.aŋ]
buangan,/buˈa.ŋan/
buangin,/buˈa.ŋɪn/
buangkan,/buˈaŋ.kan/
buas,/ˈbuas/
buat,/ˈbuat/
buat,[ˈbu.at̪̚]
buatan,/buˈatan/
buatan,[buˈa.t̪an]
buatan tangan,/buatan ˈtaŋan/
buatkan,/buˈatkan/
buatkan,[buˈat̪̚.kan]
buaya,/buˈaja/
buaya,[buˈa.ja]
buaya darat,/buˌaja ˈdarat/
buaya darat,[buˌa.ja ˈda.rat̪̚]
bubar,/ˈbubar/
bubar,[ˈbu.bar]
bubat,/ˈbubat/
bubat,[ˈbu.bat̪̚]
bubo,/ˈbubo/
bubo,[ˈbu.bo]
bubuhkan,/buˈbuhkan/
bubuhkan,[buˈbuh.kan]
bubuk,/ˈbu.buk/
bubuk,[ˈbu.bʊk̚]
bubur,/ˈbubur/
bubur,[ˈbu.bʊr]
bubur kanji rumbi,/ˈbubʊr ˈkand͡ʒi ˈrʊmbi/
bubut,/ˈbubut/
bubut,[ˈbu.bʊt̪̚]
bucin,[ˈbut͡ʃɪn]
budak,/ˈbudak/
budak,/ˈbudaʔ/
budak,[ˈbu.dak̚]
budak,[ˈbu.daʔ]
budak cinta,/buˈdak ˈt͡ʃin.ta/
budaya,/buˈdaja/
budaya,[buˈda.ja]
budel,/ˈbu.dəl/
budi,/bu.di/
budi pekerti,/ˈbudi pəkərˈti/
budiman,/bu.di.man/
budiono,/budiˈono/
budiono,[bu.diˈo.no]
budu,/ˈbudu/
budu,[ˈbu.du]
buduk,/ˈbuduk/
buduk,[ˈbu.dʊk̚]
bufer,[ˈbufər]
bufet,[ˈbufɛt̚]
bug,/ˈbaɡ/
bug,/ˈbuɡ/
bug,[ˈbak̚]
bug,[ˈbʊk̚]
bugaku,/buˈɡaku/
bugaku,[buˈɡa.ku]
bugenvil,[buˈɡɛnvɪl]
bugil,/ˈbuɡɪl/
bugis,/ˈbuɡis/
bugis,[ˈbu.ɡɪs]
buhul,/ˈbuhul/
buhul,[ˈbu.hʊl]
bui,[ˈbui̯]
builon,[ˈbui̯lɔn]
bujang,/ˈbud͡ʒaŋ/
bujang,[ˈbu.d͡ʒaŋ]
bujangga,/bu.d͡ʒaŋ.ɡa/
bujet,[ˈbu.d͡ʒɛt]
bujeter,[buˈd͡ʒɛtɛr]
