word,ipa,class_sequence
fächer,/ˈfɛçə(ɹ)/,fəhəɹ
garlic,/'gɑː(r)lɪk/,kəɹlək
generate,[ˈdʑɛnəɹɛ(ː)t],tʃənəɹət
good to go,/ˌɡʉd.təˈɢo/,kəttəkə
"goodbye, cruel world",/ɡʊdˈbaɪ | ˌkɹuːəl ˈwɜːld/,kətpəəkɹəəljəlt
hawk tuah,[hɔkʰ tʼɤ̂ː],həktə
hirakawa,[çiɾa̠ka̠β̞a̠],hətəkəfə
japa,/d͡ʒá.k͡pā/,ʃəkpə
jugaad,/d͡ʒʊ.ɡɑːɽ/,ʃəkət
litre,/ˈliː.təʴ/,lətə
mm-mm,[(ʔ)ḿ̩ˈʔm̩̀],nn
months,/mʌ̃ⁿˀfs̄/,nəfs
moor,[möː(ə̯)~mʊ̈ː(ə̯)],nəənəə
mwah,[ʘ],p
neuroglia,/njuˈrɔɡlĭə/,njəɹəkləə
nuttin,[nʌʕɪ̃n],nəhən
ouca,[aʊ↗︎ˈˈkɑːː],əəkə
pang jio,[- ˌɺj-],lj
poetry,/poˈjɛt̺ri/,pəjətɹə
saxe-coburg and gotha,/ˈsæks …/,səks
sesotho,/sɛ̀.sʉ́.tʰʉ̀/,səsətə
shipova,[ˈʃǐpova],ʃəpəfə
sophomore,/ˈsɔfᵒmoːʳ/,səfnə
staten island,[ˌst̪æt̪ⁿn̩ˈaɪ̯ɫ̪n̩(ᵈ)],stətnəəln
staten island,[ˌst̪æʔn̩ˈaɪ̯ʟn̩(ᵈ)],stənəəln
taigi,[tai̯²⁴⁻¹¹ ɡi⁵³],təəkə
tchick,/ǁ/,l
tjapaltjarri,/ɟab̥əɭɟari/,kəpəlkəɹə
tram,[t̠ᶴɹeə̯m],tɹəən
tsk,/k͡ǀ/,kt
ugh,[ɯʀ̊],əɹ
ugh,[ʌ᷈],ə
www,[dʌ.ɥʊ̆.dʌ.ɥʊ̆.dʌ.bˡju],təjətəjətəpjə
